Time (s),Load (N),Extension (mm),Stress (MPa),Strain,Error Load (N),Error Stress (MPa),Error Strain
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.539861506,7.751604402,0.006609221,0.17768765948592036,9.379216177861873e-05,0.041078627818409263,0.0010003713786865453,6.9478961847359e-09
3.079723011,25.8937167,0.019798782,0.5935537570296263,0.00028096663197729423,0.13722041218720962,0.003341673765990235,2.0813327610049326e-08
4.619584517,46.97836702,0.033714808,1.0768707546660419,0.00047845044465468303,0.24895579730994796,0.006062720870032338,3.5442450157485036e-08
6.159446023,64.84432854,0.044743311,1.4864067322934922,0.00063495710974456,0.3436341562453891,0.008368385043595149,4.7036084856195884e-08
7.699307528,87.83004681,0.059239799,2.013301329745507,0.0008406783207190161,0.4654440057919578,0.01133477154674637,6.22754139189205e-08
9.239169034,104.2811906,0.071794925,2.3904058727943274,0.0010188494560075686,0.5526247206336729,0.013457848595147698,7.54739000997092e-08
10.77903054,122.7321618,0.084266148,2.813351848587962,0.0011958299148533585,0.6504032629206645,0.015839010292807015,8.858418385337555e-08
12.31889205,140.575929,0.096955339,3.2223790725987205,0.0013759035808893092,0.7449640059196259,0.01814181021255268,1.0192360490409925e-07
13.85875355,160.5903016,0.109556714,3.681162421044052,0.001554731040681173,0.8510275922969494,0.020724734272279253,1.1517071001450884e-07
15.39861506,177.6608571,0.122490733,4.072465549482456,0.001738279087038789,0.9414907996114341,0.022927748545824245,1.2876750474468985e-07
16.93847656,195.0435153,0.134432295,4.470922912761319,0.0019077430700094608,1.0336079549332648,0.025171040753084514,1.4132098617004803e-07
18.47833807,215.4099034,0.14854701,4.937775404967602,0.0021080464995269633,1.1415370020540545,0.02779939363151643,1.5615897910403144e-07
20.01819957,231.5547882,0.159659091,5.307859666754961,0.002265739228949858,1.2270947368759164,0.029882946897204804,1.67840474575945e-07
21.55806108,253.5436006,0.173522018,5.811902495517339,0.002462469508041627,1.3436216123335143,0.0327206792472448,1.8241377718037786e-07
23.09792259,272.8998752,0.185656176,6.255600464566608,0.0026346666414380324,1.4461976932335119,0.03521867348219845,1.951697237697237e-07
